Question Type,Domain,Language,Difficulty Level,Question Text,Correct Answer,First Answer,Is Correct,Second Answer,Is Correct,Third Answer,Is Correct,Fourth Answer,Is Correct
Open Ended,Java,English,Easy,What is a Class in Java?,A Class is a blueprint or template that defines the structure and behavior (data and methods) that objects of the class all share.,,,,,,,,
Open Ended,Java,English,Easy,What is an Object in Java?,An Object is an instance of a class that contains actual values corresponding to the properties defined in the class.,,,,,,,,
Open Ended,Java,English,Easy,What are the main principles of Object-Oriented Programming?,"The main principles are Encapsulation, Abstraction, Inheritance, and Polymorphism.",,,,,,,,
Open Ended,Java,English,Easy,Explain Encapsulation with an example.,"Encapsulation is the concept of wrapping data (variables) and code (methods) together as a single unit and restricting access to the inner workings of that class. For example, using private variables with public getter and setter methods.",,,,,,,,
Open Ended,Java,English,Easy,Explain Inheritance in Java.,"Inheritance allows a new class to inherit properties and methods from an existing class, promoting code reusability and hierarchical classification.",,,,,,,,
Open Ended,Java,English,Easy,Describe Polymorphism in Java.,"Polymorphism allows objects to be treated as instances of their parent class rather than their actual class, enabling a single interface to represent different underlying forms (data types).",,,,,,,,
Open Ended,Java,English,Easy,Explain Abstraction with an example.,"Abstraction means hiding complex implementation details and showing only the essential features of an object. For example, defining an abstract class with abstract methods that subclasses must implement.",,,,,,,,
Open Ended,Java,English,Easy,What is Method Overloading?,Method Overloading is having multiple methods in the same class with the same name but different parameters (type or number).,,,,,,,,
Open Ended,Java,English,Easy,What is Method Overriding?,Method Overriding is when a subclass provides a specific implementation of a method that is already defined in its superclass with the same signature.,,,,,,,,
Open Ended,Java,English,Easy,What is the purpose of the 'this' keyword?,"The 'this' keyword refers to the current object instance and is used to access class variables and methods, especially when they are shadowed by parameters.",,,,,,,,
Open Ended,Java,English,Easy,What is the purpose of the 'super' keyword?,"The 'super' keyword is used to refer to the immediate parent class object and access its methods and variables, and to call parent class constructors.",,,,,,,,
Open Ended,Java,English,Easy,What are Constructors in Java?,Constructors are special methods used to initialize new objects. They have the same name as the class and do not have a return type.,,,,,,,,
Open Ended,Java,English,Easy,What is the difference between an Interface and an Abstract Class?,"An Interface declares methods without implementations (prior to Java 8), and a class can implement multiple interfaces. An Abstract Class can have both abstract and concrete methods, but a class can only extend one abstract class.",,,,,,,,
